System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B225-DF0144,Activated,A,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B225,St. Andrew's Playground,B225,,B-03,B,"100,037,517",DRINKFTN,I,B225,A-St. Andrew's Playground,303,36,79,11216
B225-DF0146,Activated,A,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B225,St. Andrew's Playground,B225,,B-03,B,"100,037,591",DRINKFTN,I,B225,A-St. Andrew's Playground,303,36,79,11216
B228-DF0095,Activated,C,1,TRUE,FALSE,"Under Tree, In Shade, Out in Open, Just Outside Playground",TRUE,B228,Dr. Green Playground,B228,,B-16,B,"100,037,538",DRINKFTN,I,B228,C-Dr. Green Playground,316,41,73,11212
B228-DF0096,Activated,A,1,TRUE,FALSE,Near Ballfield,TRUE,B228,Dr. Green Playground,B228,,B-16,B,"100,037,587",DRINKFTN,I,B228,A-Dr. Green Playground,316,41,73,11212
B228-DF0098,Activated,A,1,TRUE,FALSE,"Under Tree, In Shade, Near Ballfield",TRUE,B228,Dr. Green Playground,B228,,B-16,B,"100,037,557",DRINKFTN,I,B228,A-Dr. Green Playground,316,41,73,11212
B230-DF0246,Activated,CS Metal,1,FALSE,FALSE,Just Outside Playground,TRUE,B230,Nicholas Naquan Heyward Jr. Park,B230,,B-06,B,"100,037,677",DRINKFTN,I,B230,CS Metal-Nicholas Naquan Heyward Jr. Park,306,33,76,11217
B230-DF0247,Activated,C,1,TRUE,FALSE,In Playground,TRUE,B230,Nicholas Naquan Heyward Jr. Park,B230,,B-06,B,"100,037,621",DRINKFTN,I,B230,C-Nicholas Naquan Heyward Jr. Park,306,33,76,11217
B230-DF0248,Activated,Bottle Filler Fountain,2,FALSE,FALSE,Out in Open,TRUE,B230,Nicholas Naquan Heyward Jr. Park,B230,,B-06,B,"100,037,648",DRINKFTN,I,B230,Bottle Filler Fountain-Nicholas Naquan Heyward Jr. Park,306,33,76,11217
B232-DF0448,Activated,A,1,FALSE,TRUE,Out in Open,TRUE,B232,Dean Playground,B232,,B-08,B,"100,038,086",DRINKFTN,I,B232,A-Dean Playground,308,35,78,11217
B232-DF0449,Activated,CS Metal,1,TRUE,FALSE,Out in Open,TRUE,B232,Dean Playground,B232,,B-08,B,"100,038,032",DRINKFTN,I,B232,CS Metal-Dean Playground,308,35,78,11217
B232-DF0450,Activated,D,1,TRUE,FALSE,Out in Open,TRUE,B232,Dean Playground,B232,,B-08,B,"100,038,059",DRINKFTN,I,B232,D-Dean Playground,308,35,78,11217
B232-DF0451,Activated,C,1,TRUE,TRUE,Under Tree,TRUE,B232,Dean Playground,B232,,B-08,B,"100,038,083",DRINKFTN,I,B232,C-Dean Playground,308,35,78,11217
B232-DF0452,Activated,A,1,TRUE,FALSE,"In Playground, Under Tree",TRUE,B232,Dean Playground,B232,,B-08,B,"100,038,029",DRINKFTN,I,B232,A-Dean Playground,308,35,78,11217
B234-DF0501,Activated,CS Concrete,1,FALSE,TRUE,"Out in Open, In Playground",TRUE,B234,Tilden Playground,B234,,B-17,B,"100,038,138",DRINKFTN,I,B234,CS Concrete-Tilden Playground,317,45,67,11203
B234-DF0502,Activated,C,1,FALSE,FALSE,Out in Open,TRUE,B234,Tilden Playground,B234,,B-17,B,"100,038,165",DRINKFTN,I,B234,C-Tilden Playground,317,45,67,11203
B235-DF0689,Activated,A,1,TRUE,FALSE,In Playground,TRUE,B235,Herman Dolgon Playground,B235,,B-15,B,"100,039,013",DRINKFTN,I,B235,A-Herman Dolgon Playground,315,46,61,11229
B235-DF0690,Activated,C,1,TRUE,FALSE,In Playground,TRUE,B235,Herman Dolgon Playground,B235,,B-15,B,"100,039,008",DRINKFTN,I,B235,C-Herman Dolgon Playground,315,46,61,11229
